,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,¡Pa' Gozar! 45 Éxitos,1,0VEbvcXl8YzRHtSiWqZLxM,El Cable,spotify:track:0VEbvcXl8YzRHtSiWqZLxM,0.251,0.883,0.687,0.044,0.047,-9.655,0.0659,115.543,0.936,11
1,¡Pa' Gozar! 45 Éxitos,2,01yKel8vSDk5GY6ySqxePQ,¡ay Cosita Linda!,spotify:track:01yKel8vSDk5GY6ySqxePQ,0.282,0.804,0.597,0.0,0.0617,-9.442,0.111,106.663,0.957,9
2,¡Pa' Gozar! 45 Éxitos,3,6UAs0Ls8jOYeLGOpfHlTnY,Satanás,spotify:track:6UAs0Ls8jOYeLGOpfHlTnY,0.359,0.903,0.713,1.51e-05,0.271,-8.624,0.0721,129.784,0.806,11
3,¡Pa' Gozar! 45 Éxitos,4,2TurUsHBlfyIBP3TC0oV0g,La Sospechita,spotify:track:2TurUsHBlfyIBP3TC0oV0g,0.248,0.789,0.677,0.0,0.0974,-8.943,0.142,100.502,0.898,11
4,¡Pa' Gozar! 45 Éxitos,5,7La6g85xkcB7nMZPexl4b0,Vamos a Tabasco,spotify:track:7La6g85xkcB7nMZPexl4b0,0.473,0.756,0.655,1.17e-06,0.0561,-9.711,0.0837,102.306,0.915,8
5,¡Pa' Gozar! 45 Éxitos,6,3pw78W4XZQsJF9ZoZsWl8l,El Inventario,spotify:track:3pw78W4XZQsJF9ZoZsWl8l,0.401,0.725,0.709,0.0,0.0455,-7.748,0.195,100.791,0.817,6
6,¡Pa' Gozar! 45 Éxitos,7,5BBurWc352fiKCIO03YvaW,Chivirico,spotify:track:5BBurWc352fiKCIO03YvaW,0.248,0.792,0.567,0.408,0.204,-9.783,0.0492,91.674,0.952,12
7,¡Pa' Gozar! 45 Éxitos,8,4NP9DTflj05mjT5Dr3xgpq,Ráscame la Espalda Güera,spotify:track:4NP9DTflj05mjT5Dr3xgpq,0.404,0.794,0.59,0.0,0.0635,-8.826,0.108,102.94,0.809,10
8,¡Pa' Gozar! 45 Éxitos,9,64xERZFDQOkF7WtWSTSSrL,Atlántico,spotify:track:64xERZFDQOkF7WtWSTSSrL,0.188,0.789,0.661,0.266,0.317,-10.859,0.072,104.19,0.779,7
9,¡Pa' Gozar! 45 Éxitos,10,5UesSmoQVJWvAtQ9YVs44G,La Vaca Vieja,spotify:track:5UesSmoQVJWvAtQ9YVs44G,0.533,0.679,0.844,1.25e-06,0.31,-7.337,0.0607,101.962,0.808,6
10,¡Pa' Gozar! 45 Éxitos,11,4bl2ZGCrYiPaRuuOfgSxJf,Mi Yucatán Querido,spotify:track:4bl2ZGCrYiPaRuuOfgSxJf,0.235,0.752,0.609,3.85e-06,0.0305,-8.962,0.0946,102.717,0.748,5
11,¡Pa' Gozar! 45 Éxitos,12,6ci4qVjSfMvPZ2Jyqerqxi,Devuélveme Mi Costilla,spotify:track:6ci4qVjSfMvPZ2Jyqerqxi,0.648,0.678,0.678,0.0,0.116,-8.165,0.117,101.499,0.77,9
